# Exact Riemann solution for problem:	Toro-5
# Discretization:	zonal
# Domain bounds:	0.00000e+00	1.00000e+00
# Iterface position:	8.00000e-01
# Gamma:	1.40000e+00
# Left  state [dens,velx,pres]:	1.00000e+00	-1.95974e+01	1.00000e+03
# Right state [dens,velx,pres]:	1.00000e+00	-1.95974e+01	1.00000e-02
# Time:	1.20000e-02
                x	    dens [$\rho$]	      mom [$\mu$]	   e [$\epsilon$]	       pres [$p$]	             eint	       velx [$v$]	             cspd
  1.812500000e-01	  8.843401043e-01	 -1.331330999e+01	  2.204994393e+03	  8.419126765e+02	  2.380059076e+03	 -1.505451344e+01	  3.650798656e+01
  1.837500000e-01	  8.801426802e-01	 -1.309731726e+01	  2.188258766e+03	  8.363235266e+02	  2.375533949e+03	 -1.488090233e+01	  3.647326433e+01
  1.862500000e-01	  8.759612094e-01	 -1.288301660e+01	  2.171652665e+03	  8.307662105e+02	  2.371013127e+03	 -1.470729122e+01	  3.643854211e+01
  1.887500000e-01	  8.717956462e-01	 -1.267039904e+01	  2.155175206e+03	  8.252405772e+02	  2.366496612e+03	 -1.453368011e+01	  3.640381989e+01
  1.912500000e-01	  8.676459454e-01	 -1.245945564e+01	  2.138825511e+03	  8.197464758e+02	  2.361984402e+03	 -1.436006900e+01	  3.636909767e+01
  1.937500000e-01	  8.635120615e-01	 -1.225017750e+01	  2.122602704e+03	  8.142837564e+02	  2.357476498e+03	 -1.418645789e+01	  3.633437545e+01
  1.962500000e-01	  8.593939493e-01	 -1.204255573e+01	  2.106505917e+03	  8.088522693e+02	  2.352972900e+03	 -1.401284678e+01	  3.629965322e+01
  1.987500000e-01	  8.552915636e-01	 -1.183658151e+01	  2.090534285e+03	  8.034518657e+02	  2.348473608e+03	 -1.383923567e+01	  3.626493100e+01
  2.012500000e-01	  8.512048593e-01	 -1.163224603e+01	  2.074686946e+03	  7.980823972e+02	  2.343978622e+03	 -1.366562455e+01	  3.623020878e+01
  2.037500000e-01	  8.471337915e-01	 -1.142954050e+01	  2.058963047e+03	  7.927437159e+02	  2.339487941e+03	 -1.349201344e+01	  3.619548656e+01
  2.062500000e-01	  8.430783152e-01	 -1.122845620e+01	  2.043361735e+03	  7.874356747e+02	  2.335001566e+03	 -1.331840233e+01	  3.616076433e+01
  2.087500000e-01	  8.390383856e-01	 -1.102898441e+01	  2.027882166e+03	  7.821581267e+02	  2.330519498e+03	 -1.314479122e+01	  3.612604211e+01
  2.112500000e-01	  8.350139579e-01	 -1.083111644e+01	  2.012523496e+03	  7.769109260e+02	  2.326041735e+03	 -1.297118011e+01	  3.609131989e+01
  2.137500000e-01	  8.310049875e-01	 -1.063484367e+01	  1.997284890e+03	  7.716939270e+02	  2.321568277e+03	 -1.279756900e+01	  3.605659767e+01
